ÐòºÅ,1,2,3,4,5,6,7,8,9,10
X/cm,0,1,3,5,8,14,18,21,27,31
"U1(mv)(Is+,Im+)",-3.35,-3.29,-3.29,-3.26,-3.21,-2.86,-1.96,-1.74,-2.95,-3.13
"U2(mv)(Is+,Im-)",3.56,3.53,3.55,3.57,3.53,3.2,2.33,2.13,3.35,3.58
"U3(mv)(Is-,Im-)",3.71,3.74,3.76,3.79,3.87,4.23,5.14,5.36,4.17,3.98
"U4(mv)(Is-,Im+)",-3.52,-3.53,-3.54,-3.57,-3.6,-3.9,-4.82,-5,-3.78,-3.55
Uh,0.080,0.112,0.115,0.132,0.182,0.517,1.417,1.623,0.412,0.205
B,0.0000591,0.0000828,0.0000850,0.0000975,0.0001345,0.0003821,0.0010471,0.0011994,0.0003045,0.0001515
Uh,0.080,0.112,0.115,0.132,0.182,0.517,1.417,1.623,0.412,0.205
B,0.0000591,0.0000828,0.0000850,0.0000975,0.0001345,0.0003821,0.0010471,0.0011994,0.0003045,0.0001515
Uh,0.080,0.112,0.115,0.132,0.182,0.517,1.417,1.623,0.412,0.205
B,0.0000591,0.0000828,0.0000850,0.0000975,0.0001345,0.0003821,0.0010471,0.0011994,0.0003045,0.0001515
Uh,0.080,0.112,0.115,0.132,0.182,0.517,1.417,1.623,0.412,0.205
B,0.0000591,0.0000828,0.0000850,0.0000975,0.0001345,0.0003821,0.0010471,0.0011994,0.0003045,0.0001515
Uh,0.080,0.112,0.115,0.132,0.182,0.517,1.417,1.623,0.412,0.205
B,0.0000591,0.0000828,0.0000850,0.0000975,0.0001345,0.0003821,0.0010471,0.0011994,0.0003045,0.0001515
